run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
1,0,Step_1,3,D44C303839C1A6DC1BE739943A45970D,172.67.195.87,https://www.civiceducationkenya.com/,/,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Document,329.00,267.00,576.00,576.00,3528,3528,8681,,"public, max-age=300, must-revalidate",text/html,zstd,138,h3,-2.00,350.00,350.00,350.00,350.00,573.00,https://analytics.ahrefs.com/analytics.js,,,,script,Highest,Highest,2185,-1,100,56,0,100,-1,352.00,0.00,223.00,5938,2578,,,,Cloudflare,3,130,1,1,905.00,576.00,843.00,843.00,905.00,62.00,-2.00,905.00,904.00,0,1,13,1,1,15.00,,,,,,,,,,,,
1,0,Step_1,3,285459.4,172.67.195.87,https://www.civiceducationkenya.com/lovable-uploads/60eebae9-7ca2-4cb0-823d-bcecccb0027f.png,/lovable-uploads/60eebae9-7ca2-4cb0-823d-bcecccb0027f.png,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Image,"1,361.00",374.00,880.00,880.00,73085,73085,73085,,"public, max-age=14400, must-revalidate",image/png,,138,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,61,,,parser,High,High,2182,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,0,73085,"-16,050.00",Cloudflare,877,173,0,0,"2,241.00",880.00,"1,254.00","1,254.00","2,241.00",987.00,880.00,"2,241.00","1,361.00",1,2,,,,,non_blocking,,,,,,,,,,,
1,0,Step_1,3,285459.17,172.67.195.87,https://www.civiceducationkenya.com/assets/index-CO7dj8PB.css,/assets/index-CO7dj8PB.css,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Stylesheet,"1,296.00",662.00,925.00,925.00,53526,53526,366495,,"public, max-age=14400, must-revalidate",text/css,br,138,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,157,,,parser,Highest,Highest,2074,50,100,100,0,100,-1,-1.00,-1.00,-1.00,55936,0,,,"14,400.00",Cloudflare,920,203,0,0,"2,221.00",925.00,"1,587.00","1,587.00","2,221.00",634.00,925.00,"2,221.00","1,296.00",2,3,,,,,blocking,,,,,,,,,,,
1,0,Step_1,3,285459.16,172.67.195.87,https://www.civiceducationkenya.com/assets/index-O80M7bll.js,/assets/index-O80M7bll.js,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,"2,735.00",741.00,926.00,926.00,1427041,1427041,5852232,,"public, max-age=14400, must-revalidate",application/javascript,br,138,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,156,,,parser,High,High,2029,50,100,100,0,100,-1,-1.00,-1.00,-1.00,1430267,0,,,"14,400.00",Cloudflare,920,197,0,0,"3,661.00",926.00,"1,667.00","1,667.00","3,661.00","1,994.00",926.00,"3,661.00","2,735.00",3,4,,,584,584.00,non_blocking,,,,,,,,,,,
1,0,Step_1,3,285459.11,172.67.195.87,https://www.civiceducationkenya.com/manifest.json,/manifest.json,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Manifest,337.00,336.00,"1,076.00","1,076.00",805,805,2557,,"public, max-age=0, must-revalidate",application/json,br,188,h3,-1.00,-1.00,874.00,874.00,874.00,"1,071.00",https://www.civiceducationkenya.com/,77,,,parser,Medium,Medium,1861,-1,100,100,0,100,-1,-1.00,0.00,197.00,3200,0,,,,Cloudflare,878,179,0,0,"1,413.00","1,076.00","1,412.00","1,412.00","1,413.00",1.00,874.00,"1,413.00",534.00,4,5,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.3,104.18.39.141,https://analytics.ahrefs.com/analytics.js,/analytics.js,,1,GET,analytics.ahrefs.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,187.00,185.00,"1,383.00","1,383.00",2692,2692,6947,,max-age=14400,text/javascript,gzip,239,h3,876.00,"1,198.00","1,189.00","1,189.00","1,189.00","1,374.00",https://www.civiceducationkenya.com/,6,,,parser,Low,Low,1894,50,100,100,0,100,-1,322.00,0.00,185.00,2692,0,,,"7,570.00",Cloudflare,874,160,0,0,"1,570.00","1,383.00","1,568.00","1,568.00","1,570.00",2.00,876.00,"1,570.00",694.00,5,6,3,0,2,5.00,potentially_blocking,,,,,,,,,,,
1,0,Step_1,3,285459.18,104.18.28.167,https://cdn.gpteng.co/gptengineer.js,/gptengineer.js,,1,GET,cdn.gpteng.co,C0F74C28391BC31A5A0CC339F6907D06,200,Script,415.00,415.00,"1,516.00","1,516.00",0,0,,"Sat, 11 Jul 2026 02:02:28 GMT","public, max-age=14400",application/javascript,,234,HTTP/2,921.00,"1,157.00","1,157.00","1,330.00","1,330.00","1,515.00",https://www.civiceducationkenya.com/,163,,,parser,High,High,1954,-1,100,-1,0,100,-1,236.00,173.00,185.00,,,,,,Cloudflare,921,209,0,0,"1,931.00","1,516.00","1,931.00","1,931.00","1,931.00",0.00,921.00,"1,931.00","1,009.00",6,7,,,,,non_blocking,pm/https://cdn.gpteng.co <https://civiceducationkenya.com same_site>,1,0,220,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.2,142.251.47.40,https://www.googletagmanager.com/gtag/js?id=G-744W89SF53,/gtag/js?id=G-744W89SF53,,1,GET,www.googletagmanager.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,"1,130.00",390.00,"1,616.00","1,616.00",164902,164902,485952,"Fri, 10 Jul 2026 22:02:28 GMT","private, max-age=900",application/javascript,zstd,232,HTTP/2,872.00,"1,045.00","1,045.00","1,246.00","1,246.00","1,615.00",https://www.civiceducationkenya.com/,5,,,parser,Low,Low,1939,0,100,-1,0,100,-1,173.00,201.00,369.00,,,,,900.00,Google,868,147,0,0,"2,746.00","1,616.00","2,006.00","2,006.00","2,746.00",740.00,872.00,"2,746.00","1,873.00",7,8,86,28,143,257.00,potentially_blocking,https://www.googletagmanager.com <https://civiceducationkenya.com same_site>,1,0,147,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.20,104.18.39.141,https://analytics.ahrefs.com/api/event,/api/event,,1,POST,analytics.ahrefs.com,C0F74C28391BC31A5A0CC339F6907D06,200,XHR,429.00,428.00,"1,755.00","1,755.00",31,31,11,,,application/json,gzip,251,h3,-1.00,-1.00,"1,574.00","1,574.00","1,574.00","1,752.00",https://analytics.ahrefs.com/analytics.js,0,2920,a,script,High,High,2122,0,100,100,0,100,-1,-1.00,0.00,178.00,308,0,,,0.00,Cloudflare,1575,243,0,0,"2,184.00","1,755.00","2,183.00","2,183.00","2,184.00",1.00,"1,574.00","2,184.00",607.00,8,9,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.21,142.251.216.78,https://www.google-analytics.com/g/collect?v=2&tid=G-744W89SF53&gtm=45je6781v9251411452za200zd9251411452&_p=1783720947613&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=505067861.1783720950&frm=0&ngs=1&pscdl=noapi&rcb=9&sr=393x851&uaa=arm&uab=64&uafvl=%2520Not%2520A%253BBrand%3B99%7CChromium%3B145.0.0.0%7CGoogle%2520Chrome%3B145.0.0.0&uam=Model&uamb=1&uap=Android&uapv=10&uaw=0&ul=en-us&_s=1&tag_exp=115616985~115938465~115938469~118012009~118826210~118897920~118897930~119027224&sid=1783720949&sct=1&seg=0&dl=https%3A%2F%2Fwww.civiceducationkenya.com%2F&dt=Civic%20Education%20Kenya%20-%20Educate%20%E2%80%A2%20Amplify%20%E2%80%A2%20Empower&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=2971,/g/collect?v=2&tid=G-744W89SF53&gtm=45je6781v9251411452za200zd9251411452&_p=1783720947613&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=505067861.1783720950&frm=0&ngs=1&pscdl=noapi&rcb=9&sr=393x851&uaa=arm&uab=64&uafvl=%2520Not%2520A%253BBrand%3B99%7CChromium%3B145.0.0.0%7CGoogle%2520Chrome%3B145.0.0.0&uam=Model&uamb=1&uap=Android&uapv=10&uaw=0&ul=en-us&_s=1&tag_exp=115616985~115938465~115938469~118012009~118826210~118897920~118897930~119027224&sid=1783720949&sct=1&seg=0&dl=https%3A%2F%2Fwww.civiceducationkenya.com%2F&dt=Civic%20Education%20Kenya%20-%20Educate%20%E2%80%A2%20Amplify%20%E2%80%A2%20Empower&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=2971,,1,POST,www.google-analytics.com,C0F74C28391BC31A5A0CC339F6907D06,204,Fetch,371.00,371.00,"4,042.00","4,042.00",0,0,,"Fri, 01 Jan 1990 00:00:00 GMT","no-cache, no-store, must-revalidate",text/plain,,272,HTTP/2,"2,982.00","3,462.00","3,463.00","3,664.00","3,664.00","4,041.00",https://www.googletagmanager.com/gtag/js?id=G-744W89SF53,239,390,pd,script,High,High,4081,-1,100,-1,0,100,-1,480.00,201.00,377.00,,,,,,Google,2982,257,0,0,"4,413.00","4,042.00","4,413.00","4,413.00","4,413.00",0.00,"2,982.00","4,413.00","1,429.00",9,10,,,,,,https://www.google-analytics.com <https://civiceducationkenya.com same_site>,1,0,220,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.14,104.16.79.73,https://static.cloudflareinsights.com/beacon.min.js,/beacon.min.js,,1,GET,static.cloudflareinsights.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,196.00,185.00,"4,306.00","4,306.00",11364,11364,31612,,"public, max-age=86400",text/javascript,gzip,287,HTTP/2,"3,741.00","3,950.00","3,950.00","4,123.00","4,123.00","4,306.00",https://www.civiceducationkenya.com/,142,,,parser,Low,Low,1924,50,100,100,0,100,-1,209.00,173.00,183.00,11577,0,,,"86,400.00",Cloudflare,3740,273,0,0,"4,502.00","4,306.00","4,491.00","4,491.00","4,502.00",11.00,"3,741.00","4,502.00",761.00,10,11,4,0,22,26.00,non_blocking,https://static.cloudflareinsights.com <https://civiceducationkenya.com same_site>,1,0,147,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.15,141.101.90.107,https://cdn.brevo.com/js/sdk-loader.js,/js/sdk-loader.js,,1,GET,cdn.brevo.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,394.00,393.00,"5,454.00","5,454.00",1116,1116,3442,"Sat, 11 Jul 2026 06:02:32 GMT","public, max-age=28800",application/javascript,br,308,HTTP/2,"4,505.00","4,680.00","4,680.00","4,853.00","4,853.00","5,453.00",https://www.civiceducationkenya.com/,143,,,parser,Low,Low,1885,50,100,100,0,100,-1,175.00,173.00,600.00,1508,0,,,"23,097.00","Cloudflare, Google",4504,294,0,0,"5,848.00","5,454.00","5,847.00","5,847.00","5,848.00",1.00,"4,505.00","5,848.00","1,342.00",11,12,1,0,,1.00,potentially_blocking,https://cdn.brevo.com <https://civiceducationkenya.com same_site>,1,0,147,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.19,104.16.79.73,https://static.cloudflareinsights.com/beacon.min.js/v4513226cdae34746b4dedf0b4dfa099e1781791509496,/beacon.min.js/v4513226cdae34746b4dedf0b4dfa099e1781791509496,,1,GET,static.cloudflareinsights.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,194.00,180.00,"6,206.00","6,206.00",11364,11364,31612,,"public, max-age=86400",text/javascript,gzip,320,HTTP/2,-1.00,-1.00,"5,854.00","6,027.00","6,027.00","6,206.00",https://www.civiceducationkenya.com/,164,,,parser,Low,Low,2089,50,100,100,0,100,-1,-1.00,173.00,179.00,11577,0,,,"86,400.00",Cloudflare,5851,313,0,0,"6,400.00","6,206.00","6,386.00","6,386.00","6,400.00",14.00,"5,854.00","6,400.00",546.00,12,13,2,0,,2.00,non_blocking,pm/https://static.cloudflareinsights.com <https://civiceducationkenya.com same_site>,1,0,147,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.8,172.67.195.87,https://www.civiceducationkenya.com/lovable-uploads/bea0d682-b245-4391-b21b-80fdf695fdae.png,/lovable-uploads/bea0d682-b245-4391-b21b-80fdf695fdae.png,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Other,372.00,317.00,"6,403.00","6,403.00",58909,58909,58909,,"public, max-age=14400, must-revalidate",image/png,,138,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,62,,,parser,Lowest,Lowest,2782,50,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,58909,"12,164.00",Cloudflare,6402,322,0,0,"6,775.00","6,403.00","6,720.00","6,720.00","6,775.00",55.00,"6,403.00","6,775.00",372.00,13,14,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.9,172.67.195.87,https://www.civiceducationkenya.com/lovable-uploads/3.webp,/lovable-uploads/3.webp,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Other,374.00,346.00,"6,778.00","6,778.00",29112,29112,29112,,"public, max-age=14400, must-revalidate",image/webp,,138,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,63,,,parser,Lowest,Lowest,2680,50,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,29112,"14,400.00",Cloudflare,6777,328,0,0,"7,152.00","6,778.00","7,124.00","7,124.00","7,152.00",28.00,"6,778.00","7,152.00",374.00,14,15,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.10,172.67.195.87,https://www.civiceducationkenya.com/lovable-uploads/1.webp,/lovable-uploads/1.webp,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Other,368.00,349.00,"7,154.00","7,154.00",20542,20542,20542,,"public, max-age=14400, must-revalidate",image/webp,,138,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,64,,,parser,Lowest,Lowest,2680,50,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,20542,"7,507.00",Cloudflare,7153,336,0,0,"7,522.00","7,154.00","7,503.00","7,503.00","7,522.00",19.00,"7,154.00","7,522.00",368.00,15,16,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.22,142.251.216.78,https://www.google-analytics.com/g/collect?v=2&tid=G-744W89SF53&gtm=45je6781v9251411452za200zd9251411452&_p=1783720947613&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=505067861.1783720950&frm=0&ngs=1&pscdl=noapi&rcb=9&sr=393x851&uaa=arm&uab=64&uafvl=%2520Not%2520A%253BBrand%3B99%7CChromium%3B145.0.0.0%7CGoogle%2520Chrome%3B145.0.0.0&uam=Model&uamb=1&uap=Android&uapv=10&uaw=0&ul=en-us&_s=2&tag_exp=115616985~115938465~115938469~118012009~118826210~118897920~118897930~119027224&sid=1783720949&sct=1&seg=0&dl=https%3A%2F%2Fwww.civiceducationkenya.com%2F&dt=Civic%20Education%20Kenya%20-%20Educate%20%E2%80%A2%20Amplify%20%E2%80%A2%20Empower&en=scroll&epn.percent_scrolled=90&tfd=8014,/g/collect?v=2&tid=G-744W89SF53&gtm=45je6781v9251411452za200zd9251411452&_p=1783720947613&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=505067861.1783720950&frm=0&ngs=1&pscdl=noapi&rcb=9&sr=393x851&uaa=arm&uab=64&uafvl=%2520Not%2520A%253BBrand%3B99%7CChromium%3B145.0.0.0%7CGoogle%2520Chrome%3B145.0.0.0&uam=Model&uamb=1&uap=Android&uapv=10&uaw=0&ul=en-us&_s=2&tag_exp=115616985~115938465~115938469~118012009~118826210~118897920~118897930~119027224&sid=1783720949&sct=1&seg=0&dl=https%3A%2F%2Fwww.civiceducationkenya.com%2F&dt=Civic%20Education%20Kenya%20-%20Educate%20%E2%80%A2%20Amplify%20%E2%80%A2%20Empower&en=scroll&epn.percent_scrolled=90&tfd=8014,,1,POST,www.google-analytics.com,C0F74C28391BC31A5A0CC339F6907D06,204,Fetch,371.00,371.00,"8,012.00","8,012.00",0,0,,"Fri, 01 Jan 1990 00:00:00 GMT","no-cache, no-store, must-revalidate",text/plain,,272,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.googletagmanager.com/gtag/js?id=G-744W89SF53,239,390,pd,script,High,High,4120,-1,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,,Google,8010,342,0,0,"8,383.00","8,012.00","8,383.00","8,383.00","8,383.00",0.00,"8,012.00","8,383.00",371.00,16,17,,,,,,https://www.google-analytics.com <https://civiceducationkenya.com same_site>,,,,,,,,,443,
1,0,Step_1,3,285459.30,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/scripts/jsd/main.js,/cdn-cgi/challenge-platform/scripts/jsd/main.js,,1,GET,www.civiceducationkenya.com,461E21467E5BB25F4D0A3002C3BEF5E4,302,,205.00,205.00,"37,384.00","37,384.00",0,0,,,"max-age=300, stale-if-error=10800, stale-while-revalidate=10800, public",,,388,h3,-1.00,-1.00,"37,175.00","37,175.00","37,175.00","37,381.00",https://www.civiceducationkenya.com/,,,,script,Low,Low,2077,-1,100,-1,0,-1,-1,-1.00,0.00,206.00,,,,,,Cloudflare,37177,1000000,0,0,"37,589.00","37,384.00","37,589.00","37,589.00","37,589.00",0.00,"37,175.00","37,589.00",411.00,17,18,116,0,1,117.00,non_blocking,,,,,,,,,,,
1,0,Step_1,3,285459.33,172.67.195.87,https://www.civiceducationkenya.com/logo-colored.png,/logo-colored.png,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Image,"1,213.00",357.00,"37,407.00","37,407.00",73085,73085,73085,,"public, max-age=14400, must-revalidate",image/png,,388,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,170,,,parser,High,Low,2359,50,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,73085,"14,400.00",Cloudflare,37406,395,0,0,"38,620.00","37,407.00","37,764.00","37,764.00","38,620.00",856.00,"37,407.00","38,620.00","1,213.00",18,19,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.34,172.67.195.87,https://www.civiceducationkenya.com/logo-white.png,/logo-white.png,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Image,"1,225.00",615.00,"37,410.00","37,410.00",66446,66446,66446,,"public, max-age=14400, must-revalidate",image/png,,388,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,170,,,parser,High,Low,2353,50,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,66446,"14,400.00",Cloudflare,37409,401,0,0,"38,635.00","37,410.00","38,025.00","38,025.00","38,635.00",610.00,"37,410.00","38,635.00","1,225.00",19,20,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.30-1,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/73f5d73b1f13/main.js?,/cdn-cgi/challenge-platform/h/g/scripts/jsd/73f5d73b1f13/main.js,,1,GET,www.civiceducationkenya.com,461E21467E5BB25F4D0A3002C3BEF5E4,200,Script,684.00,452.00,"37,592.00","37,592.00",9632,9632,20884,,"max-age=14400, stale-if-error=10800, stale-while-revalidate=10800, public",application/javascript,zstd,388,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,170,,,parser,Low,Low,2131,50,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,"14,400.00",Cloudflare,37591,379,0,0,"38,276.00","37,592.00","38,044.00","38,044.00","38,276.00",232.00,"37,592.00","38,276.00",684.00,20,21,,,,,non_blocking,,,,,,,,,,,
1,0,Step_1,3,83447A34A34E7974653EADD863AEA1C9,104.18.38.10,https://iruahxgkrucidihnfytq.supabase.co/rest/v1/carousel_slides?select=*&is_active=eq.true&order=order_index.asc,/rest/v1/carousel_slides?select=*&is_active=eq.true&order=order_index.asc,,1,OPTIONS,iruahxgkrucidihnfytq.supabase.co,C0F74C28391BC31A5A0CC339F6907D06,200,Preflight,374.00,374.00,"37,852.00","37,852.00",0,0,,,,,,427,h3,"37,488.00","37,664.00",-1.00,-1.00,-1.00,-1.00,https://iruahxgkrucidihnfytq.supabase.co/rest/v1/carousel_slides?select=*&is_active=eq.true&order=order_index.asc,,,,preflight,High,High,2158,-1,100,-1,0,100,-1,176.00,-1.00,-1.00,,,,,,Cloudflare,37488,408,0,0,"38,226.00","37,852.00","38,226.00","38,226.00","38,226.00",0.00,"37,488.00","38,226.00",550.00,21,22,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.27,141.101.90.104,https://sibautomation.com/sa.js?key=u9woqr28f9yeajgrw42u15su,/sa.js?key=u9woqr28f9yeajgrw42u15su,,1,GET,sibautomation.com,C0F74C28391BC31A5A0CC339F6907D06,200,Script,401.00,394.00,"38,080.00","38,080.00",4131,4131,15166,"Fri, 10 Jul 2026 22:04:05 GMT","public, max-age=60",text/javascript,br,394,HTTP/2,"36,985.00","37,308.00","37,308.00","37,483.00","37,483.00","38,080.00",https://cdn.brevo.com/js/sdk-loader.js,35,31,injectScript,script,Low,Low,1951,0,100,100,0,100,-1,323.00,175.00,597.00,4408,0,,,-213.00,Cloudflare,36984,360,0,0,"38,481.00","38,080.00","38,474.00","38,474.00","38,481.00",7.00,"36,985.00","38,481.00","1,496.00",22,23,3,0,1,4.00,non_blocking,https://sibautomation.com <https://civiceducationkenya.com same_site>,1,0,147,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,285459.38,104.18.38.10,https://iruahxgkrucidihnfytq.supabase.co/rest/v1/carousel_slides?select=*&is_active=eq.true&order=order_index.asc,/rest/v1/carousel_slides?select=*&is_active=eq.true&order=order_index.asc,,1,GET,iruahxgkrucidihnfytq.supabase.co,C0F74C28391BC31A5A0CC339F6907D06,200,Fetch,825.00,822.00,"38,229.00","38,229.00",1284,1284,3907,,,application/json,gzip,427,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/assets/index-O80M7bll.js,109,42675,,script,High,High,3784,0,100,100,0,100,-1,-1.00,-1.00,-1.00,2079,0,,,0.00,Cloudflare,37487,407,0,0,"39,054.00","38,229.00","39,051.00","39,051.00","39,054.00",3.00,"38,229.00","39,054.00",825.00,23,24,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.39,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/jsd/oneshot/73f5d73b1f13/0.367372249359732:1783717225:KxVMVyIujr8JiKy5WjiWk_ImE9VGy36LSGV4ULyiF6g/a192da516e81d0e9,/cdn-cgi/challenge-platform/h/g/jsd/oneshot/73f5d73b1f13/0.367372249359732:1783717225:KxVMVyIujr8JiKy5WjiWk_ImE9VGy36LSGV4ULyiF6g/a192da516e81d0e9,,1,POST,www.civiceducationkenya.com,461E21467E5BB25F4D0A3002C3BEF5E4,200,XHR,231.00,231.00,"38,394.00","38,394.00",0,0,,,,text/plain,,388,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/scripts/jsd/main.js,0,11133,D,script,High,High,2767,-1,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,38393,442,0,0,"38,625.00","38,394.00","38,625.00","38,625.00","38,625.00",0.00,"38,394.00","38,625.00",231.00,24,25,,,,,,,,,,,,,,,,
1,0,Step_1,3,285459.41,172.67.195.87,https://www.civiceducationkenya.com/favicon.ico,/favicon.ico,,1,GET,www.civiceducationkenya.com,C0F74C28391BC31A5A0CC339F6907D06,200,Other,370.00,345.00,"38,647.00","38,647.00",25168,25168,152126,,"public, max-age=14400, must-revalidate",image/vnd.microsoft.icon,br,388,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,,,,,other,High,High,3760,0,100,100,0,100,-1,-1.00,-1.00,-1.00,27131,0,,,"-19,158.00",Cloudflare,38646,461,0,0,"39,017.00","38,647.00","38,992.00","38,992.00","39,017.00",25.00,"38,647.00","39,017.00",370.00,25,26,,,,,,,,,,,,,,,,
1,0,Step_1,3,256089C63EB1D8E28F4EBFEE2F655DE4,104.16.79.73,https://cloudflareinsights.com/cdn-cgi/rum,/cdn-cgi/rum,,1,OPTIONS,cloudflareinsights.com,C0F74C28391BC31A5A0CC339F6907D06,200,Preflight,179.00,179.00,"38,822.00","38,822.00",20,20,,,,text/plain,gzip,320,HTTP/2,"38,645.00","38,821.00",-1.00,-1.00,-1.00,-1.00,https://cloudflareinsights.com/cdn-cgi/rum,,,,preflight,High,High,1837,0,100,-1,0,100,-1,176.00,-1.00,-1.00,,,,,0.00,Cloudflare,38645,449,0,0,"39,001.00","38,822.00","39,001.00","39,001.00","39,001.00",0.00,"38,645.00","39,001.00",355.00,26,27,,,,,,,3,,,,,,,,,
1,0,Step_1,3,285459.40,104.16.79.73,https://cloudflareinsights.com/cdn-cgi/rum,/cdn-cgi/rum,,1,POST,cloudflareinsights.com,C0F74C28391BC31A5A0CC339F6907D06,204,XHR,179.00,179.00,"39,014.00","39,014.00",0,0,,,,text/plain,,320,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://static.cloudflareinsights.com/beacon.min.js,0,12456,e.sendObjectBeacon,script,High,High,2152,-1,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,38645,448,0,0,"39,193.00","39,014.00","39,193.00","39,193.00","39,193.00",0.00,"39,014.00","39,193.00",179.00,27,28,,,,,,pm/https://static.cloudflareinsights.com <https://civiceducationkenya.com same_site>,5,0,220,1,,,,,443,
